iso3,name,scope,region,income,score_status,cdi,missing_indicators,gni_value,gni_year,gni_status,pct_value,pct_year,pct_status,nature_value,nature_year,nature_status,hcr_value,hcr_year,hcr_status,life_value,life_year,life_status,electricity_value,electricity_year,electricity_status,internet_value,internet_year,internet_status,lpi_value,lpi_year,lpi_status,water_value,water_year,water_status
ABW,Aruba,extended_economy_or_territory,Latin America & Caribbean ,High income,insufficient_data,,internet;lpi;water,48900.0,2024,observed,0,2024,inferred_zero,0.03,2024,observed,0,2025,inferred_zero,76.5,2024,observed,7361,2022,substituted_alternative_source,,,missing,,,missing,,,missing
AFG,Afghanistan,sovereign_195,"Middle East, North Africa, Afghanistan & Pakistan",Low income,calculated_with_substitution_or_inference,26.6554,,2250.0,2024,observed,0,2024,inferred_zero,1.23,2024,observed,0,2025,inferred_zero,66.289,2024,observed,144.2,2022,substituted_alternative_source,16.09499931,2024,observed,1.9,2023,observed,80.8324374493852,2024,observed
AGO,Angola,sovereign_195,Sub-Saharan Africa ,Lower middle income,calculated_with_substitution_or_inference,36.607,,9330.0,2024,observed,0,2024,inferred_zero,0.92,2024,observed,0,2025,inferred_zero,64.805,2024,observed,379.103010494775,2023,observed,40.70479965,2024,observed,2.1,2023,observed,67.9607422242112,2024,observed
ALB,Albania,sovereign_195,Europe & Central Asia,Upper middle income,calculated_with_substitution_or_inference,57.575,,26500.0,2024,observed,9,2024,observed,0.56,2024,observed,0,2025,inferred_zero,79.776,2024,observed,2891.78648050428,2023,observed,85.86389923,2024,observed,2.5,2023,observed,95.1194270680062,2024,observed
AND,Andorra,sovereign_195,Europe & Central Asia,High income,insufficient_data,,lpi,76550.0,2024,observed,3,2024,observed,0,2024,inferred_zero,0,2025,inferred_zero,84.188,2024,observed,5922.5,2022,substituted_alternative_source,94.39759827,2024,observed,,,missing,100.0,2024,observed
ARE,United Arab Emirates,sovereign_195,"Middle East, North Africa, Afghanistan & Pakistan",High income,fully_observed,80.1615,,81640.0,2024,observed,164,2024,observed,100.63,2024,observed,7,2025,observed,83.069,2024,observed,15284.7010578561,2023,observed,100.0,2024,observed,4.0,2023,observed,100.0,2024,observed
ARG,Argentina,sovereign_195,Latin America & Caribbean ,Upper middle income,insufficient_data,,water,29850.0,2024,observed,28,2024,observed,125.2,2024,observed,2,2025,observed,77.543,2024,observed,2821.77233232234,2023,observed,89.66715228,2024,observed,2.8,2023,observed,,,missing
ARM,Armenia,sovereign_195,Europe & Central Asia,Upper middle income,calculated_with_substitution_or_inference,56.6852,,22050.0,2024,observed,4,2024,observed,7.24,2024,observed,0,2025,inferred_zero,78.319512195122,2024,observed,2386.06079006848,2023,observed,81.33930206,2024,observed,2.5,2023,observed,99.9315721509168,2024,observed
ASM,American Samoa,extended_economy_or_territory,East Asia & Pacific,High income,insufficient_data,,gni;internet;lpi,,,missing,0,2024,inferred_zero,0,2024,inferred_zero,0,2025,inferred_zero,72.992,2024,observed,3292.2,2022,substituted_alternative_source,,,missing,,,missing,100.0,2024,observed
ATG,Antigua and Barbuda,sovereign_195,Latin America & Caribbean ,High income,calculated_with_substitution_or_inference,57.6661,,31870.0,2024,observed,6,2024,observed,0.01,2024,observed,0,2025,inferred_zero,77.766,2024,observed,3392.9,2022,substituted_alternative_source,72.73040009,2024,observed,2.9,2023,observed,98.9227269324043,2024,observed
