region,current_list_entries,pages,source_url
Argentina,2,1,https://clarivate.com/highly-cited-researchers/
Australia,305,31,https://clarivate.com/highly-cited-researchers/
Austria,57,6,https://clarivate.com/highly-cited-researchers/
Bangladesh,1,1,https://clarivate.com/highly-cited-researchers/
Belgium,82,9,https://clarivate.com/highly-cited-researchers/
Brazil,16,2,https://clarivate.com/highly-cited-researchers/
Bulgaria,1,1,https://clarivate.com/highly-cited-researchers/
Canada,223,23,https://clarivate.com/highly-cited-researchers/
Chile,5,1,https://clarivate.com/highly-cited-researchers/
China Mainland,1423,143,https://clarivate.com/highly-cited-researchers/
Colombia,2,1,https://clarivate.com/highly-cited-researchers/
Cyprus,2,1,https://clarivate.com/highly-cited-researchers/
Czech Republic,7,1,https://clarivate.com/highly-cited-researchers/
Denmark,62,7,https://clarivate.com/highly-cited-researchers/
Egypt,1,1,https://clarivate.com/highly-cited-researchers/
Estonia,2,1,https://clarivate.com/highly-cited-researchers/
Finland,19,2,https://clarivate.com/highly-cited-researchers/
France,120,12,https://clarivate.com/highly-cited-researchers/
French Polynesia,1,1,https://clarivate.com/highly-cited-researchers/
Germany,359,36,https://clarivate.com/highly-cited-researchers/
Greece,8,1,https://clarivate.com/highly-cited-researchers/
Hong Kong SAR,147,15,https://clarivate.com/highly-cited-researchers/
Hungary,1,1,https://clarivate.com/highly-cited-researchers/
Iceland,1,1,https://clarivate.com/highly-cited-researchers/
India,6,1,https://clarivate.com/highly-cited-researchers/
Iran,3,1,https://clarivate.com/highly-cited-researchers/
Ireland,20,2,https://clarivate.com/highly-cited-researchers/
Israel,38,4,https://clarivate.com/highly-cited-researchers/
Italy,101,11,https://clarivate.com/highly-cited-researchers/
Japan,90,9,https://clarivate.com/highly-cited-researchers/
Kenya,2,1,https://clarivate.com/highly-cited-researchers/
Kuwait,2,1,https://clarivate.com/highly-cited-researchers/
Lebanon,2,1,https://clarivate.com/highly-cited-researchers/
Lithuania,2,1,https://clarivate.com/highly-cited-researchers/
Luxembourg,3,1,https://clarivate.com/highly-cited-researchers/
Macau SAR,5,1,https://clarivate.com/highly-cited-researchers/
Malaysia,6,1,https://clarivate.com/highly-cited-researchers/
Mexico,2,1,https://clarivate.com/highly-cited-researchers/
Morocco,2,1,https://clarivate.com/highly-cited-researchers/
Netherlands,195,20,https://clarivate.com/highly-cited-researchers/
New Zealand,13,2,https://clarivate.com/highly-cited-researchers/
Norway,23,3,https://clarivate.com/highly-cited-researchers/
Pakistan,3,1,https://clarivate.com/highly-cited-researchers/
Portugal,7,1,https://clarivate.com/highly-cited-researchers/
Qatar,1,1,https://clarivate.com/highly-cited-researchers/
Russia,5,1,https://clarivate.com/highly-cited-researchers/
Saudi Arabia,34,4,https://clarivate.com/highly-cited-researchers/
Singapore,86,9,https://clarivate.com/highly-cited-researchers/
South Africa,11,2,https://clarivate.com/highly-cited-researchers/
South Korea,76,8,https://clarivate.com/highly-cited-researchers/
Spain,95,10,https://clarivate.com/highly-cited-researchers/
Sweden,71,8,https://clarivate.com/highly-cited-researchers/
Switzerland,130,13,https://clarivate.com/highly-cited-researchers/
Taiwan,10,1,https://clarivate.com/highly-cited-researchers/
Thailand,2,1,https://clarivate.com/highly-cited-researchers/
Turkiye,1,1,https://clarivate.com/highly-cited-researchers/
United Arab Emirates,7,1,https://clarivate.com/highly-cited-researchers/
United Kingdom,570,57,https://clarivate.com/highly-cited-researchers/
United States,2658,266,https://clarivate.com/highly-cited-researchers/
