scope,name,share_2024,source_url
regions-Asia Pacific,China,43075.34,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Japan,3570.16,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,South Korea,2577.58,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,India,2378.16,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Australia,1870.17,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Singapore,856.12,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Taiwan,692.26,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,New Zealand,170.3,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Thailand,139.03,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Malaysia,111.4,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Vietnam,76.3,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Bangladesh,49.65,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Indonesia,41.67,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Philippines,21.07,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Sri Lanka,15.17,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Nepal,10.99,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,North Korea,5.08,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Cambodia,4.79,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Myanmar,3.53,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Mongolia,2.99,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,French Polynesia,2.64,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Brunei,2.12,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Papua New Guinea,2.11,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Laos,1.65,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Fiji,0.69,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Palau,0.68,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Samoa,0.59,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Kiribati,0.3,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Bhutan,0.2,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Tonga,0.13,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Vanuatu,0.11,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Solomon Islands,0.1,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Asia Pacific,Timor-Leste,0.04,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Asia%20Pacific
regions-Europe,Germany,5671.75,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Europe
regions-Europe,United Kingdom (UK),4699.65,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Europe
regions-Europe,France,2725.87,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Europe
regions-Europe,Italy,1885.88,https://www.nature.com/nature-index/research-leaders/2025/country/all/regions-Europe
