name,electricity_consumption_kwh_per_capita_2022,source_url
Afghanistan,144.2,https://desapublications.un.org/file/21030/download
Albania,2329.6,https://desapublications.un.org/file/21030/download
Algeria,1484.4,https://desapublications.un.org/file/21030/download
American Samoa,3292.2,https://desapublications.un.org/file/21030/download
Andorra,5922.5,https://desapublications.un.org/file/21030/download
Angola,387.8,https://desapublications.un.org/file/21030/download
Anguilla,6077,https://desapublications.un.org/file/21030/download
Antigua and Barbuda,3392.9,https://desapublications.un.org/file/21030/download
Argentina,2739.9,https://desapublications.un.org/file/21030/download
Armenia,2334.4,https://desapublications.un.org/file/21030/download
Aruba,7361,https://desapublications.un.org/file/21030/download
Australia,8428.7,https://desapublications.un.org/file/21030/download
Austria,7045.6,https://desapublications.un.org/file/21030/download
Azerbaijan,1967.8,https://desapublications.un.org/file/21030/download
Bahamas,4295.5,https://desapublications.un.org/file/21030/download
Bahrain,22461.4,https://desapublications.un.org/file/21030/download
Bangladesh,548.1,https://desapublications.un.org/file/21030/download
Barbados,3327,https://desapublications.un.org/file/21030/download
Belarus,3400.3,https://desapublications.un.org/file/21030/download
Belgium,6576,https://desapublications.un.org/file/21030/download
Belize,1543.5,https://desapublications.un.org/file/21030/download
Benin,107.6,https://desapublications.un.org/file/21030/download
Bermuda,8131.4,https://desapublications.un.org/file/21030/download
Bhutan,3159.5,https://desapublications.un.org/file/21030/download
Bolivia (Plurinational State of),787.1,https://desapublications.un.org/file/21030/download
"Bonaire, Sint Eustatius and Saba",4377,https://desapublications.un.org/file/21030/download
Bosnia and Herzegovina,3313.2,https://desapublications.un.org/file/21030/download
Botswana,1617.8,https://desapublications.un.org/file/21030/download
Brazil,2619.7,https://desapublications.un.org/file/21030/download
British Virgin Islands,4560.5,https://desapublications.un.org/file/21030/download
Brunei Darussalam,9997.9,https://desapublications.un.org/file/21030/download
Bulgaria,4500.4,https://desapublications.un.org/file/21030/download
Burkina Faso,119.7,https://desapublications.un.org/file/21030/download
Burundi,24.8,https://desapublications.un.org/file/21030/download
Cabo Verde,801.6,https://desapublications.un.org/file/21030/download
Cambodia,780.4,https://desapublications.un.org/file/21030/download
Cameroon,276.1,https://desapublications.un.org/file/21030/download
Canada,13820,https://desapublications.un.org/file/21030/download
Cayman Islands,9652.3,https://desapublications.un.org/file/21030/download
Central African Republic,19.6,https://desapublications.un.org/file/21030/download
Chad,14.2,https://desapublications.un.org/file/21030/download
Chile,4058.6,https://desapublications.un.org/file/21030/download
China,5298.8,https://desapublications.un.org/file/21030/download
"China, Hong Kong Special Administrative Region",6008.8,https://desapublications.un.org/file/21030/download
"China, Macao Special Administrative Region",7456.5,https://desapublications.un.org/file/21030/download
Colombia,1356.8,https://desapublications.un.org/file/21030/download
Comoros,123.5,https://desapublications.un.org/file/21030/download
Congo,316.8,https://desapublications.un.org/file/21030/download
Cook Islands,2420.8,https://desapublications.un.org/file/21030/download
Costa Rica,2052.4,https://desapublications.un.org/file/21030/download
Côte d’Ivoire,316.2,https://desapublications.un.org/file/21030/download
Croatia,4157.8,https://desapublications.un.org/file/21030/download
Cuba,1195.9,https://desapublications.un.org/file/21030/download
Curaçao,4070.5,https://desapublications.un.org/file/21030/download
Cyprus,3649.3,https://desapublications.un.org/file/21030/download
Czechia,5493.4,https://desapublications.un.org/file/21030/download
Democratic People's Republic of Korea,734.6,https://desapublications.un.org/file/21030/download
Democratic Republic of the Congo,126.4,https://desapublications.un.org/file/21030/download
Denmark,5184.6,https://desapublications.un.org/file/21030/download
Djibouti,574.7,https://desapublications.un.org/file/21030/download
Dominica,2009.7,https://desapublications.un.org/file/21030/download
Dominican Republic,1719.5,https://desapublications.un.org/file/21030/download
Ecuador,1559.5,https://desapublications.un.org/file/21030/download
Egypt,1530.4,https://desapublications.un.org/file/21030/download
El Salvador,1140.4,https://desapublications.un.org/file/21030/download
Equatorial Guinea,852,https://desapublications.un.org/file/21030/download
Eritrea,96.4,https://desapublications.un.org/file/21030/download
Estonia,5289.8,https://desapublications.un.org/file/21030/download
Eswatini,1116.9,https://desapublications.un.org/file/21030/download
Ethiopia,89.4,https://desapublications.un.org/file/21030/download
Falkland Islands (Malvinas),5163.3,https://desapublications.un.org/file/21030/download
Faroe Islands,7318.6,https://desapublications.un.org/file/21030/download
Fiji,1045.5,https://desapublications.un.org/file/21030/download
Finland,13801.9,https://desapublications.un.org/file/21030/download
France,6051.8,https://desapublications.un.org/file/21030/download
French Polynesia,2294.8,https://desapublications.un.org/file/21030/download
Gabon,986.6,https://desapublications.un.org/file/21030/download
Gambia,145.8,https://desapublications.un.org/file/21030/download
Georgia,3527.3,https://desapublications.un.org/file/21030/download
Germany,5681.6,https://desapublications.un.org/file/21030/download
Ghana,528.4,https://desapublications.un.org/file/21030/download
Gibraltar,5323,https://desapublications.un.org/file/21030/download
Greece,4622.2,https://desapublications.un.org/file/21030/download
Greenland,7101.1,https://desapublications.un.org/file/21030/download
Grenada,1830.6,https://desapublications.un.org/file/21030/download
Guam,9384.7,https://desapublications.un.org/file/21030/download
Guatemala,630.4,https://desapublications.un.org/file/21030/download
Guernsey,5423.3,https://desapublications.un.org/file/21030/download
Guinea,196,https://desapublications.un.org/file/21030/download
Guinea-Bissau,82.5,https://desapublications.un.org/file/21030/download
Guyana,1085.6,https://desapublications.un.org/file/21030/download
Haiti,76.3,https://desapublications.un.org/file/21030/download
Honduras,726.8,https://desapublications.un.org/file/21030/download
Hungary,4269.4,https://desapublications.un.org/file/21030/download
Iceland,49620.2,https://desapublications.un.org/file/21030/download
India,984.5,https://desapublications.un.org/file/21030/download
Indonesia,1055,https://desapublications.un.org/file/21030/download
Iran (Islamic Republic of),3517.8,https://desapublications.un.org/file/21030/download
Iraq,1277.1,https://desapublications.un.org/file/21030/download
Ireland,6021.1,https://desapublications.un.org/file/21030/download
Isle of Man,4314.6,https://desapublications.un.org/file/21030/download
Israel,6986.7,https://desapublications.un.org/file/21030/download
Italy,4810.9,https://desapublications.un.org/file/21030/download
Jamaica,1190.4,https://desapublications.un.org/file/21030/download
Japan,7253.9,https://desapublications.un.org/file/21030/download
Jersey,5866.7,https://desapublications.un.org/file/21030/download
Jordan,1717.3,https://desapublications.un.org/file/21030/download
Kazakhstan,4150.9,https://desapublications.un.org/file/21030/download
Kenya,184.5,https://desapublications.un.org/file/21030/download
